===========================================================================================================================================================================================================================
      RP |      scs |        k |    theta |      psi | st_1_deg | st_2_deg | st_3_deg | da_1_deg | da_2_deg | da_3_deg | dd_1_deg | dd_2_deg | dd_3_deg | st_1_rad | st_2_rad | st_3_rad | da_1_rad | da_2_rad | da_3_rad | dd_1_rad | dd_2_rad | dd_3_rad | RP_z_deg | RP_z_rad | Tot_z_deg | Tot_z_rad
===========================================================================================================================================================================================================================
1.0000 | 0.0100 | 15.0000 | 10.0000 | 0.1000 | 87.0000 | 280.8767 | 0.5385 | 89.0000 | 89.7251 | 0.0081 | 177.0000 | 10.8767 | 0.4615 | 1.5205 | 4.9089 | 0.5393 | 1.5555 | 1.5681 | 0.0081 | 3.0935 | 0.1901 | 0.4621 | 0.3360 | 0.3365 | 0.2991 | 0.2995
2.0000 | 0.0100 | 15.0000 | 10.0000 | 0.1000 | 4.0000 | 356.6763 | 0.9797 | 89.0000 | 84.9311 | 0.0452 | 94.0000 | 86.6763 | 0.0203 | 0.0699 | 6.2337 | 0.9810 | 1.5555 | 1.4844 | 0.0453 | 1.6429 | 1.5149 | 0.0204 | 0.3484 | 0.3489 | 0.2991 | 0.2995
3.0000 | 0.0100 | 15.0000 | 10.0000 | 0.1000 | 339.0000 | 351.3567 | 0.0343 | 87.0000 | 89.9840 | 0.0332 | 69.0000 | 81.3567 | 0.0343 | 5.9248 | 6.1407 | 0.0344 | 1.5205 | 1.5727 | 0.0332 | 1.2059 | 1.4219 | 0.0344 | 0.0339 | 0.0340 | 0.2991 | 0.2995
4.0000 | 0.0100 | 15.0000 | 10.0000 | 0.1000 | 102.0000 | 263.0963 | 0.4475 | 86.0000 | 85.1581 | 0.0094 | 192.0000 | 353.0963 | 0.4475 | 1.7827 | 4.5982 | 0.4481 | 1.5030 | 1.4883 | 0.0093 | 3.3556 | 6.1711 | 0.4481 | 0.3014 | 0.3018 | 0.2991 | 0.2995
5.0000 | 0.0100 | 15.0000 | 10.0000 | 0.1000 | 350.0000 | 174.2383 | 0.4882 | 89.0000 | 89.8688 | 0.0097 | 80.0000 | 264.2383 | 0.5118 | 6.1170 | 3.0452 | 0.4889 | 1.5555 | 1.5707 | 0.0096 | 1.3982 | 4.6182 | 0.5125 | 0.3366 | 0.3370 | 0.2991 | 0.2995
6.0000 | 0.0100 | 15.0000 | 10.0000 | 0.1000 | 359.0000 | 185.9231 | 0.4808 | 40.0000 | 68.3556 | 0.3151 | 89.0000 | 275.9231 | 0.5192 | 6.2743 | 3.2494 | 0.4814 | 0.6991 | 1.1947 | 0.3155 | 1.5555 | 4.8224 | 0.5199 | 0.4384 | 0.4389 | 0.2991 | 0.2995
1.0000 | 0.0200 | 15.0000 | 10.0000 | 0.1000 | 87.0000 | 282.4810 | 0.5430 | 89.0000 | 88.6653 | 0.0037 | 177.0000 | 12.4810 | 0.4570 | 1.5205 | 4.9370 | 0.5437 | 1.5555 | 1.5496 | 0.0037 | 3.0935 | 0.2181 | 0.4576 | 0.3346 | 0.3350 | 0.5317 | 0.5319
2.0000 | 0.0200 | 15.0000 | 10.0000 | 0.1000 | 4.0000 | 355.8032 | 0.9772 | 89.0000 | 84.4286 | 0.0508 | 94.0000 | 85.8032 | 0.0228 | 0.0699 | 6.2185 | 0.9786 | 1.5555 | 1.4756 | 0.0509 | 1.6429 | 1.4996 | 0.0228 | 0.3503 | 0.3508 | 0.5317 | 0.5319
3.0000 | 0.0200 | 15.0000 | 10.0000 | 0.1000 | 339.0000 |    NaN | 1.0000 | 87.0000 |    NaN | 1.0000 | 69.0000 |    NaN | 1.0000 | 5.9248 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.2059 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.5317 | 0.5319
4.0000 | 0.0200 | 15.0000 | 10.0000 | 0.1000 | 102.0000 | 16.3833 | 0.2378 | 86.0000 | 88.6864 | 0.0298 | 192.0000 | 106.3833 | 0.2378 | 1.7827 | 0.2863 | 0.2382 | 1.5030 | 1.5500 | 0.0299 | 3.3556 | 1.8593 | 0.2381 | 0.1685 | 0.1687 | 0.5317 | 0.5319
5.0000 | 0.0200 | 15.0000 | 10.0000 | 0.1000 | 350.0000 | 174.3251 | 0.4880 | 89.0000 | 89.8461 | 0.0094 | 80.0000 | 264.3251 | 0.5120 | 6.1170 | 3.0467 | 0.4886 | 1.5555 | 1.5703 | 0.0094 | 1.3982 | 4.6197 | 0.5127 | 0.3365 | 0.3369 | 0.5317 | 0.5319
6.0000 | 0.0200 | 15.0000 | 10.0000 | 0.1000 | 359.0000 |    NaN | 1.0000 | 40.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 6.2743 |    NaN | 1.0000 | 0.6991 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.5317 | 0.5319
