===========================================================================================================================================================================================================================
      RP |      scs |        k |    theta |      psi | st_1_deg | st_2_deg | st_3_deg | da_1_deg | da_2_deg | da_3_deg | dd_1_deg | dd_2_deg | dd_3_deg | st_1_rad | st_2_rad | st_3_rad | da_1_rad | da_2_rad | da_3_rad | dd_1_rad | dd_2_rad | dd_3_rad | RP_z_deg | RP_z_rad | Tot_z_deg | Tot_z_rad
===========================================================================================================================================================================================================================
1.0000 | 0.0100 | 15.0000 | 0.0000 | 0.1000 | 87.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 177.0000 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 3.0935 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
2.0000 | 0.0100 | 15.0000 | 0.0000 | 0.1000 | 4.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 94.0000 |    NaN | 1.0000 | 0.0699 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.6429 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
3.0000 | 0.0100 | 15.0000 | 0.0000 | 0.1000 | 339.0000 |    NaN | 1.0000 | 87.0000 |    NaN | 1.0000 | 69.0000 |    NaN | 1.0000 | 5.9248 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.2059 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
4.0000 | 0.0100 | 15.0000 | 0.0000 | 0.1000 | 102.0000 |    NaN | 1.0000 | 86.0000 |    NaN | 1.0000 | 192.0000 |    NaN | 1.0000 | 1.7827 |    NaN | 1.0000 | 1.5030 |    NaN | 1.0000 | 3.3556 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
5.0000 | 0.0100 | 15.0000 | 0.0000 | 0.1000 | 350.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 80.0000 |    NaN | 1.0000 | 6.1170 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.3982 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
6.0000 | 0.0100 | 15.0000 | 0.0000 | 0.1000 | 359.0000 |    NaN | 1.0000 | 40.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 6.2743 |    NaN | 1.0000 | 0.6991 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
1.0000 | 0.0100 | 15.0000 | 4.0000 | 0.1000 | 87.0000 | 87.5973 | 0.0017 | 89.0000 | 88.3305 | 0.0074 | 177.0000 | 177.5973 | 0.0017 | 1.5205 | 1.5310 | 0.0017 | 1.5555 | 1.5438 | 0.0075 | 3.0935 | 3.1039 | 0.0017 | 0.0036 | 0.0036 | 0.3558 | 0.3561
2.0000 | 0.0100 | 15.0000 | 4.0000 | 0.1000 | 4.0000 | 356.9759 | 0.9805 | 89.0000 | 85.7209 | 0.0364 | 94.0000 | 86.9759 | 0.0195 | 0.0699 | 6.2389 | 0.9818 | 1.5555 | 1.4982 | 0.0365 | 1.6429 | 1.5201 | 0.0195 | 0.3455 | 0.3460 | 0.3558 | 0.3561
3.0000 | 0.0100 | 15.0000 | 4.0000 | 0.1000 | 339.0000 | 158.3229 | 0.5019 | 87.0000 | 89.3657 | 0.0263 | 69.0000 | 248.3229 | 0.4981 | 5.9248 | 2.7670 | 0.5026 | 1.5205 | 1.5619 | 0.0263 | 1.2059 | 4.3400 | 0.4988 | 0.3421 | 0.3426 | 0.3558 | 0.3561
4.0000 | 0.0100 | 15.0000 | 4.0000 | 0.1000 | 102.0000 | 61.8295 | 0.1116 | 86.0000 | 86.2300 | 0.0026 | 192.0000 | 151.8295 | 0.1116 | 1.7827 | 1.0806 | 0.1117 | 1.5030 | 1.5071 | 0.0026 | 3.3556 | 2.6536 | 0.1117 | 0.0752 | 0.0754 | 0.3558 | 0.3561
5.0000 | 0.0100 | 15.0000 | 4.0000 | 0.1000 | 350.0000 | 5.2832 | 0.9575 | 89.0000 | 79.5140 | 0.1054 | 80.0000 | 95.2832 | 0.0425 | 6.1170 | 0.0923 | 0.9589 | 1.5555 | 1.3897 | 0.1056 | 1.3982 | 1.6653 | 0.0425 | 0.3685 | 0.3690 | 0.3558 | 0.3561
6.0000 | 0.0100 | 15.0000 | 4.0000 | 0.1000 | 359.0000 |    NaN | 1.0000 | 40.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 6.2743 |    NaN | 1.0000 | 0.6991 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.3558 | 0.3561
1.0000 | 0.0100 | 15.0000 | 8.0000 | 0.1000 | 87.0000 | 280.9017 | 0.5386 | 89.0000 | 89.3414 | 0.0038 | 177.0000 | 10.9017 | 0.4614 | 1.5205 | 4.9094 | 0.5394 | 1.5555 | 1.5614 | 0.0038 | 3.0935 | 0.1905 | 0.4620 | 0.3346 | 0.3351 | 0.2937 | 0.2940
2.0000 | 0.0100 | 15.0000 | 8.0000 | 0.1000 | 4.0000 | 356.3767 | 0.9788 | 89.0000 | 84.9080 | 0.0455 | 94.0000 | 86.3767 | 0.0212 | 0.0699 | 6.2285 | 0.9802 | 1.5555 | 1.4840 | 0.0455 | 1.6429 | 1.5096 | 0.0212 | 0.3485 | 0.3490 | 0.2937 | 0.2940
3.0000 | 0.0100 | 15.0000 | 8.0000 | 0.1000 | 339.0000 | 308.9839 | 0.0834 | 87.0000 | 89.9601 | 0.0329 | 69.0000 | 38.9839 | 0.0834 | 5.9248 | 5.4002 | 0.0835 | 1.5205 | 1.5723 | 0.0329 | 1.2059 | 0.6813 | 0.0835 | 0.0665 | 0.0666 | 0.2937 | 0.2940
4.0000 | 0.0100 | 15.0000 | 8.0000 | 0.1000 | 102.0000 | 225.5867 | 0.3433 | 86.0000 | 88.1689 | 0.0241 | 192.0000 | 315.5867 | 0.3433 | 1.7827 | 3.9426 | 0.3438 | 1.5030 | 1.5409 | 0.0242 | 3.3556 | 5.5156 | 0.3438 | 0.2369 | 0.2372 | 0.2937 | 0.2940
5.0000 | 0.0100 | 15.0000 | 8.0000 | 0.1000 | 350.0000 | 174.2447 | 0.4882 | 89.0000 | 89.9837 | 0.0109 | 80.0000 | 264.2447 | 0.5118 | 6.1170 | 3.0453 | 0.4889 | 1.5555 | 1.5727 | 0.0109 | 1.3982 | 4.6183 | 0.5125 | 0.3370 | 0.3374 | 0.2937 | 0.2940
6.0000 | 0.0100 | 15.0000 | 8.0000 | 0.1000 | 359.0000 | 185.9231 | 0.4808 | 40.0000 | 68.3556 | 0.3151 | 89.0000 | 275.9231 | 0.5192 | 6.2743 | 3.2494 | 0.4814 | 0.6991 | 1.1947 | 0.3155 | 1.5555 | 4.8224 | 0.5199 | 0.4384 | 0.4389 | 0.2937 | 0.2940
1.0000 | 0.0100 | 15.0000 | 12.0000 | 0.1000 | 87.0000 | 281.0875 | 0.5391 | 89.0000 | 89.2687 | 0.0030 | 177.0000 | 11.0875 | 0.4609 | 1.5205 | 4.9126 | 0.5399 | 1.5555 | 1.5602 | 0.0030 | 3.0935 | 0.1938 | 0.4615 | 0.3343 | 0.3348 | 0.5536 | 0.5539
2.0000 | 0.0100 | 15.0000 | 12.0000 | 0.1000 | 4.0000 | 357.4399 | 0.9818 | 89.0000 | 85.4187 | 0.0398 | 94.0000 | 87.4399 | 0.0182 | 0.0699 | 6.2471 | 0.9831 | 1.5555 | 1.4929 | 0.0399 | 1.6429 | 1.5282 | 0.0183 | 0.3466 | 0.3471 | 0.5536 | 0.5539
3.0000 | 0.0100 | 15.0000 | 12.0000 | 0.1000 | 339.0000 |    NaN | 1.0000 | 87.0000 |    NaN | 1.0000 | 69.0000 |    NaN | 1.0000 | 5.9248 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.2059 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.5536 | 0.5539
4.0000 | 0.0100 | 15.0000 | 12.0000 | 0.1000 | 102.0000 | 264.3237 | 0.4509 | 86.0000 | 85.1748 | 0.0092 | 192.0000 | 354.3237 | 0.4509 | 1.7827 | 4.6196 | 0.4515 | 1.5030 | 1.4886 | 0.0092 | 3.3556 | 6.1926 | 0.4515 | 0.3037 | 0.3041 | 0.5536 | 0.5539
5.0000 | 0.0100 | 15.0000 | 12.0000 | 0.1000 | 350.0000 | 173.6369 | 0.4899 | 89.0000 | 89.9913 | 0.0110 | 80.0000 | 263.6369 | 0.5101 | 6.1170 | 3.0347 | 0.4906 | 1.5555 | 1.5728 | 0.0110 | 1.3982 | 4.6076 | 0.5108 | 0.3370 | 0.3375 | 0.5536 | 0.5539
6.0000 | 0.0100 | 15.0000 | 12.0000 | 0.1000 | 359.0000 |    NaN | 1.0000 | 40.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 6.2743 |    NaN | 1.0000 | 0.6991 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.5536 | 0.5539
1.0000 | 0.0100 | 15.0000 | 16.0000 | 0.1000 | 87.0000 | 281.8674 | 0.5413 | 89.0000 | 84.1520 | 0.0539 | 177.0000 | 11.8674 | 0.4587 | 1.5205 | 4.9263 | 0.5420 | 1.5555 | 1.4707 | 0.0540 | 3.0935 | 0.2074 | 0.4593 | 0.3513 | 0.3518 | 0.4993 | 0.4995
2.0000 | 0.0100 | 15.0000 | 16.0000 | 0.1000 | 4.0000 | 3.2632 | 0.0020 | 89.0000 | 87.9918 | 0.0112 | 94.0000 | 93.2632 | 0.0020 | 0.0699 | 0.0570 | 0.0020 | 1.5555 | 1.5379 | 0.0112 | 1.6429 | 1.6300 | 0.0021 | 0.0051 | 0.0051 | 0.4993 | 0.4995
3.0000 | 0.0100 | 15.0000 | 16.0000 | 0.1000 | 339.0000 |    NaN | 1.0000 | 87.0000 |    NaN | 1.0000 | 69.0000 |    NaN | 1.0000 | 5.9248 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.2059 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.4993 | 0.4995
4.0000 | 0.0100 | 15.0000 | 16.0000 | 0.1000 | 102.0000 | 264.3237 | 0.4509 | 86.0000 | 85.1748 | 0.0092 | 192.0000 | 354.3237 | 0.4509 | 1.7827 | 4.6196 | 0.4515 | 1.5030 | 1.4886 | 0.0092 | 3.3556 | 6.1926 | 0.4515 | 0.3037 | 0.3041 | 0.4993 | 0.4995
5.0000 | 0.0100 | 15.0000 | 16.0000 | 0.1000 | 350.0000 | 173.5435 | 0.4902 | 89.0000 | 89.6189 | 0.0069 | 80.0000 | 263.5435 | 0.5098 | 6.1170 | 3.0331 | 0.4908 | 1.5555 | 1.5663 | 0.0069 | 1.3982 | 4.6060 | 0.5105 | 0.3356 | 0.3361 | 0.4993 | 0.4995
6.0000 | 0.0100 | 15.0000 | 16.0000 | 0.1000 | 359.0000 |    NaN | 1.0000 | 40.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 6.2743 |    NaN | 1.0000 | 0.6991 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.4993 | 0.4995
1.0000 | 0.0100 | 15.0000 | 20.0000 | 0.1000 | 87.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 177.0000 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 3.0935 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8791 | 0.8792
2.0000 | 0.0100 | 15.0000 | 20.0000 | 0.1000 | 4.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 94.0000 |    NaN | 1.0000 | 0.0699 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.6429 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8791 | 0.8792
3.0000 | 0.0100 | 15.0000 | 20.0000 | 0.1000 | 339.0000 |    NaN | 1.0000 | 87.0000 |    NaN | 1.0000 | 69.0000 |    NaN | 1.0000 | 5.9248 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.2059 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8791 | 0.8792
4.0000 | 0.0100 | 15.0000 | 20.0000 | 0.1000 | 102.0000 | 246.9307 | 0.4026 | 86.0000 | 87.6482 | 0.0183 | 192.0000 | 336.9307 | 0.4026 | 1.7827 | 4.3157 | 0.4031 | 1.5030 | 1.5318 | 0.0184 | 3.3556 | 5.8886 | 0.4031 | 0.2745 | 0.2749 | 0.8791 | 0.8792
5.0000 | 0.0100 | 15.0000 | 20.0000 | 0.1000 | 350.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 80.0000 |    NaN | 1.0000 | 6.1170 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.3982 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8791 | 0.8792
6.0000 | 0.0100 | 15.0000 | 20.0000 | 0.1000 | 359.0000 |    NaN | 1.0000 | 40.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 6.2743 |    NaN | 1.0000 | 0.6991 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8791 | 0.8792
1.0000 | 0.0100 | 15.0000 | 24.0000 | 0.1000 | 87.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 177.0000 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 3.0935 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
2.0000 | 0.0100 | 15.0000 | 24.0000 | 0.1000 | 4.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 94.0000 |    NaN | 1.0000 | 0.0699 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.6429 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
3.0000 | 0.0100 | 15.0000 | 24.0000 | 0.1000 | 339.0000 |    NaN | 1.0000 | 87.0000 |    NaN | 1.0000 | 69.0000 |    NaN | 1.0000 | 5.9248 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.2059 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
4.0000 | 0.0100 | 15.0000 | 24.0000 | 0.1000 | 102.0000 |    NaN | 1.0000 | 86.0000 |    NaN | 1.0000 | 192.0000 |    NaN | 1.0000 | 1.7827 |    NaN | 1.0000 | 1.5030 |    NaN | 1.0000 | 3.3556 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
5.0000 | 0.0100 | 15.0000 | 24.0000 | 0.1000 | 350.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 80.0000 |    NaN | 1.0000 | 6.1170 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.3982 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
6.0000 | 0.0100 | 15.0000 | 24.0000 | 0.1000 | 359.0000 |    NaN | 1.0000 | 40.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 6.2743 |    NaN | 1.0000 | 0.6991 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
1.0000 | 0.0100 | 15.0000 | 28.0000 | 0.1000 | 87.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 177.0000 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 3.0935 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
2.0000 | 0.0100 | 15.0000 | 28.0000 | 0.1000 | 4.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 94.0000 |    NaN | 1.0000 | 0.0699 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.6429 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
