===========================================================================================================================================================================================================================
      RP |      scs |        k |    theta |      psi | st_1_deg | st_2_deg | st_3_deg | da_1_deg | da_2_deg | da_3_deg | dd_1_deg | dd_2_deg | dd_3_deg | st_1_rad | st_2_rad | st_3_rad | da_1_rad | da_2_rad | da_3_rad | dd_1_rad | dd_2_rad | dd_3_rad | RP_z_deg | RP_z_rad | Tot_z_deg | Tot_z_rad
===========================================================================================================================================================================================================================
1.0000 | 0.0100 | 1.0000 | 10.0000 | 0.1000 | 87.0000 | 278.1701 | 0.5310 | 89.0000 | 89.4125 | 0.0046 | 177.0000 | 8.1701 | 0.4690 | 1.5205 | 4.8616 | 0.5318 | 1.5555 | 1.5627 | 0.0046 | 3.0935 | 0.1428 | 0.4696 | 0.3349 | 0.3353 | 0.5152 | 0.5154
2.0000 | 0.0100 | 1.0000 | 10.0000 | 0.1000 | 4.0000 | 356.5245 | 0.9792 | 89.0000 | 85.0382 | 0.0440 | 94.0000 | 86.5245 | 0.0208 | 0.0699 | 6.2311 | 0.9806 | 1.5555 | 1.4862 | 0.0441 | 1.6429 | 1.5122 | 0.0208 | 0.3480 | 0.3485 | 0.5152 | 0.5154
3.0000 | 0.0100 | 1.0000 | 10.0000 | 0.1000 | 339.0000 | 308.9839 | 0.0834 | 87.0000 | 89.9601 | 0.0329 | 69.0000 | 38.9839 | 0.0834 | 5.9248 | 5.4002 | 0.0835 | 1.5205 | 1.5723 | 0.0329 | 1.2059 | 0.6813 | 0.0835 | 0.0665 | 0.0666 | 0.5152 | 0.5154
4.0000 | 0.0100 | 1.0000 | 10.0000 | 0.1000 | 102.0000 |    NaN | 1.0000 | 86.0000 |    NaN | 1.0000 | 192.0000 |    NaN | 1.0000 | 1.7827 |    NaN | 1.0000 | 1.5030 |    NaN | 1.0000 | 3.3556 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.5152 | 0.5154
5.0000 | 0.0100 | 1.0000 | 10.0000 | 0.1000 | 350.0000 | 3.6184 | 0.9622 | 89.0000 | 86.7468 | 0.0250 | 80.0000 | 93.6184 | 0.0378 | 6.1170 | 0.0632 | 0.9635 | 1.5555 | 1.5161 | 0.0251 | 1.3982 | 1.6362 | 0.0379 | 0.3417 | 0.3421 | 0.5152 | 0.5154
6.0000 | 0.0100 | 1.0000 | 10.0000 | 0.1000 | 359.0000 |    NaN | 1.0000 | 40.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 6.2743 |    NaN | 1.0000 | 0.6991 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.5152 | 0.5154
1.0000 | 0.0100 | 4.0000 | 10.0000 | 0.1000 | 87.0000 | 280.8103 | 0.5384 | 89.0000 | 88.4242 | 0.0064 | 177.0000 | 10.8103 | 0.4616 | 1.5205 | 4.9078 | 0.5391 | 1.5555 | 1.5454 | 0.0064 | 3.0935 | 0.1889 | 0.4623 | 0.3355 | 0.3359 | 0.2781 | 0.2784
2.0000 | 0.0100 | 4.0000 | 10.0000 | 0.1000 | 4.0000 | 356.4641 | 0.9791 | 89.0000 | 85.2440 | 0.0417 | 94.0000 | 86.4641 | 0.0209 | 0.0699 | 6.2300 | 0.9804 | 1.5555 | 1.4898 | 0.0418 | 1.6429 | 1.5112 | 0.0210 | 0.3472 | 0.3477 | 0.2781 | 0.2784
3.0000 | 0.0100 | 4.0000 | 10.0000 | 0.1000 | 339.0000 | 169.5222 | 0.4708 | 87.0000 | 88.8522 | 0.0206 | 69.0000 | 259.5222 | 0.5292 | 5.9248 | 2.9628 | 0.4714 | 1.5205 | 1.5529 | 0.0206 | 1.2059 | 4.5357 | 0.5300 | 0.3402 | 0.3407 | 0.2781 | 0.2784
