===========================================================================================================================================================================================================================
      RP |      scs |        k |    theta |      psi | st_1_deg | st_2_deg | st_3_deg | da_1_deg | da_2_deg | da_3_deg | dd_1_deg | dd_2_deg | dd_3_deg | st_1_rad | st_2_rad | st_3_rad | da_1_rad | da_2_rad | da_3_rad | dd_1_rad | dd_2_rad | dd_3_rad | RP_z_deg | RP_z_rad | Tot_z_deg | Tot_z_rad
===========================================================================================================================================================================================================================
1.0000 | 0.0100 | 15.0000 | 10.0000 | 0.0100 | 87.0000 | 278.7684 | 0.5327 | 89.0000 | 89.5762 | 0.0064 | 177.0000 | 8.7684 | 0.4673 | 1.5205 | 4.8721 | 0.5334 | 1.5555 | 1.5655 | 0.0064 | 3.0935 | 0.1532 | 0.4680 | 0.3355 | 0.3359 | 0.4652 | 0.4654
2.0000 | 0.0100 | 15.0000 | 10.0000 | 0.0100 | 4.0000 | 355.9285 | 0.9776 | 89.0000 | 84.7172 | 0.0476 | 94.0000 | 85.9285 | 0.0224 | 0.0699 | 6.2206 | 0.9789 | 1.5555 | 1.4806 | 0.0477 | 1.6429 | 1.5018 | 0.0225 | 0.3492 | 0.3497 | 0.4652 | 0.4654
3.0000 | 0.0100 | 15.0000 | 10.0000 | 0.0100 | 339.0000 |    NaN | 1.0000 | 87.0000 |    NaN | 1.0000 | 69.0000 |    NaN | 1.0000 | 5.9248 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.2059 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.4652 | 0.4654
4.0000 | 0.0100 | 15.0000 | 10.0000 | 0.0100 | 102.0000 | 76.0524 | 0.0721 | 86.0000 | 86.7937 | 0.0088 | 192.0000 | 166.0524 | 0.0721 | 1.7827 | 1.3292 | 0.0722 | 1.5030 | 1.5169 | 0.0089 | 3.3556 | 2.9021 | 0.0722 | 0.0510 | 0.0511 | 0.4652 | 0.4654
5.0000 | 0.0100 | 15.0000 | 10.0000 | 0.0100 | 350.0000 | 358.6572 | 0.0240 | 89.0000 | 78.3349 | 0.1185 | 80.0000 | 88.6572 | 0.0240 | 6.1170 | 6.2683 | 0.0241 | 1.5555 | 1.3691 | 0.1187 | 1.3982 | 1.5495 | 0.0241 | 0.0555 | 0.0556 | 0.4652 | 0.4654
6.0000 | 0.0100 | 15.0000 | 10.0000 | 0.0100 | 359.0000 |    NaN | 1.0000 | 40.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 6.2743 |    NaN | 1.0000 | 0.6991 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.4652 | 0.4654
1.0000 | 0.0100 | 15.0000 | 10.0000 | 0.1100 | 87.0000 | 280.8864 | 0.5386 | 89.0000 | 89.7963 | 0.0088 | 177.0000 | 10.8864 | 0.4614 | 1.5205 | 4.9091 | 0.5393 | 1.5555 | 1.5694 | 0.0088 | 3.0935 | 0.1903 | 0.4621 | 0.3363 | 0.3367 | 0.2506 | 0.2509
2.0000 | 0.0100 | 15.0000 | 10.0000 | 0.1100 | 4.0000 | 356.6763 | 0.9797 | 89.0000 | 84.9311 | 0.0452 | 94.0000 | 86.6763 | 0.0203 | 0.0699 | 6.2337 | 0.9810 | 1.5555 | 1.4844 | 0.0453 | 1.6429 | 1.5149 | 0.0204 | 0.3484 | 0.3489 | 0.2506 | 0.2509
3.0000 | 0.0100 | 15.0000 | 10.0000 | 0.1100 | 339.0000 | 351.3567 | 0.0343 | 87.0000 | 89.9840 | 0.0332 | 69.0000 | 81.3567 | 0.0343 | 5.9248 | 6.1407 | 0.0344 | 1.5205 | 1.5727 | 0.0332 | 1.2059 | 1.4219 | 0.0344 | 0.0339 | 0.0340 | 0.2506 | 0.2509
